Material composition,Material composition site,Abbreviated name,Electrolyte class,Is well studied? (>4 materials),Log ASR (Ohm-cm2) at T=773 K,Log ASR (Ohm-cm2) at T=873 K,Log ASR (Ohm-cm2) at T=973 K,Log ASR (Ohm-cm2) at T=1073 K,ML pred ASR barrier (eV)
Ba0.9Co0.7Fe0.2Nb0.1O3,[Ba0.9][Co0.7Fe0.2Nb0.1],B90CFN,ceria,0,-0.324875991,-1.175851767,-1.851909603,-2.401954795,1.134531099
Ba2Bi0.1Sc0.2Co1.7O5,[Ba2][Bi0.1Sc0.2Co1.7],BBiScC,mixed,0,0.302381062,-0.657577319,-1.420216403,-2.04070468,1.258738249
Ba0.95Ca0.05FeO3,[Ba0.95Ca0.05][Fe],BCaF,ceria,0,1.397940009,0.451148592,-0.301029996,-0.913007542,1.263385158
Ba0.95Ca0.05Fe0.95In0.05O3,[Ba0.95Ca0.05][Fe0.95In0.05],BCaFIn,ceria,0,0,-0.779035297,-1.397940009,-1.901485035,1.086717546
BaCe0.5Fe0.5O3,[Ba][Ce0.5Fe0.5],BCeF55,ceria,0,1.151262854,0.006425904,-0.903089987,-1.643078219,1.44558847
Ba0.9Co0.7Fe0.2Mo0.1O3,[Ba0.9][Co0.7Fe0.2Mo0.1],BCFMo,ceria,0,-0.428343793,-1.199825856,-1.812729899,-2.311392742,1.082027388
BaCo0.6Fe0.3Nb0.1O3,[Ba][Co0.6Fe0.3Nb0.1],BCFN631,mixed,0,0.243038049,-0.741061058,-1.522878745,-2.158970862,1.27479556
BaCo0.7Fe0.2Nb0.1O3,[Ba][Co0.7Fe0.2Nb0.1],BCFN721,ceria,1,0.093869311,-0.742641913,-1.407208384,-1.947904125,1.17159768
BaCo0.7Fe0.2Nb0.1O3,[Ba][Co0.7Fe0.2Nb0.1],BCFN721,perovskite,1,0.705466293,-0.261038959,-1.028879205,-1.653599181,1.245413458
BaCo0.7Fe0.22Sc0.08O3,[Ba][Co0.7Fe0.22Sc0.08],BCFSc,ceria,0,-0.522878745,-1.43990867,-2.168443235,-2.761183845,1.242322278
BaCo0.6Fe0.2Sn0.2O3,[Ba][Co0.6Fe0.2Sn0.2],BCFSn20,ceria,0,0.176091259,-0.647069669,-1.301029996,-1.833096505,1.123112687
BaCo0.6Fe0.3Sn0.1O3,[Ba][Co0.6Fe0.3Sn0.1],BCFSn631,mixed,0,0,-0.892786009,-1.602059991,-2.179130063,1.170289092
BaCo0.6Fe0.2Sn0.1Y0.1O3,[Ba][Co0.6Fe0.2Sn0.1Y0.1],BCFSnY,ceria,0,0,-0.779035297,-1.397940009,-1.901485035,1.045027701
BaCo0.7Fe0.22Y0.08O3,[Ba][Co0.7Fe0.22Y0.08],BCFY,ceria,0,-0.366531544,-1.522878745,-2.441538957,-3.18896707,1.404889481
BaCo0.6Fe0.2Y0.2O3,[Ba][Co0.6Fe0.2Y0.2],BCFY20,ceria,0,0.301029996,-0.547630382,-1.22184875,-1.770397338,1.214236068
BaCo0.7Fe0.2Yb0.1O3,[Ba][Co0.7Fe0.2Yb0.1],BCFYb,ceria,0,0.836564662,-0.217147241,-1.054268825,-1.735356562,1.332925376
BaCoO3,[Ba[Co],BCO,mixed,0,0.425258803,-0.346787486,-0.96013978,-1.459167322,1.160105817
BaCoO3,[Ba[Co],BCO,ceria,0,0.887054378,-0.215918346,-1.092175196,-1.80510365,1.355093511
BaCo0.875Sc0.125O3,[Ba][Co0.875Sc0.125],BCSc12,ceria,0,0.390935107,-0.74583427,-1.648940878,-2.383714473,1.441246163
BaCo0.75Sc0.25O3,[Ba][Co0.75Sc0.25],BCSc25,ceria,0,-0.017728767,-1.078632494,-1.921467623,-2.607203939,1.400531751
