formula,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,yield strength,tensile strength,elongation,composition,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity
Fe0.620C0.000953Mn0.000521Si0.00102Cr0.000110Ni0.192Mo0.0176V0.000112Nb0.0000616Co0.146Al0.00318Ti0.0185,0.02,0.05,0.05,0.01,19.7,2.95,0.01,0.0,0.01,15.0,0.0,0.15,1.55,2411.5,2473.5,7.0,Fe0.62 C0.000953 Mn0.000521 Si0.00102 Cr0.00011 Ni0.192 Mo0.0176 V0.000112 Nb6.16e-05 Co0.146 Al0.00318 Ti0.0185,26.664768709322345,56.37786283510068,57.24008321450784,1809.275474332678,8.447250438374748,4.011554934435776,130.3922648055472,1.8529584895909994
Fe0.623C0.00854Mn0.000104Si0.000203Cr0.147Ni0.0000971Mo0.0179V0.00515N0.00163Nb0.0000614Co0.188W0.00729Al0.000845,0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0.0,1123.1,1929.2,8.0,Fe0.623 C0.00854 Mn0.000104 Si0.000203 Cr0.147 Ni9.71e-05 Mo0.0179 V0.00515 N0.00163 Nb6.14e-05 Co0.188 W0.00729 Al0.000845,26.30074418358095,54.76849684518371,57.01578321125542,1905.8335465716095,7.896150358989438,4.01115540239473,132.03234380571314,1.831064827136471
Fe0.625Mn0.000102Si0.000200Cr0.0936Ni0.129Mo0.00480V0.000110Nb0.0000604Co0.132Al0.00812Ti0.00669,0.0,0.01,0.01,8.67,13.45,0.82,0.01,0.0,0.01,13.9,0.0,0.39,0.57,1736.3,1871.8,,Fe0.625 Mn0.000102 Si0.0002 Cr0.0936 Ni0.129 Mo0.0048 V0.00011 Nb6.04e-05 Co0.132 Al0.00812 Ti0.00669,26.145400179096878,55.65330829071312,56.160791181653295,1828.1560567636277,8.2076927632216,3.99653930088196,131.03525039552562,1.8288146715396807
Fe0.634C0.000478Mn0.000523Si0.00102Cr0.000111Ni0.173Mo0.0237V0.000113Nb0.0000619Co0.146Al0.00277Ti0.0176,0.01,0.05,0.05,0.01,17.7,3.95,0.01,0.0,0.01,15.0,0.0,0.13,1.47,2487.3,2514.9,9.0,Fe0.634 C0.000478 Mn0.000523 Si0.00102 Cr0.000111 Ni0.173 Mo0.0237 V0.000113 Nb6.19e-05 Co0.146 Al0.00277 Ti0.0176,26.74329764876495,56.22715343930803,57.471595066464914,1816.761991296777,8.396015056982005,4.019027756194886,130.68351349726018,1.8534756406717028
Fe0.636C0.000474Mn0.000518Si0.00101Cr0.000109Ni0.188Mo0.00860V0.000112Nb0.0000612Co0.144Al0.00274Ti0.0184,0.01,0.05,0.05,0.01,19.4,1.45,0.01,0.0,0.01,14.9,0.0,0.13,1.55,2249.6,2315.0,8.5,Fe0.636 C0.000474 Mn0.000518 Si0.00101 Cr0.000109 Ni0.188 Mo0.0086 V0.000112 Nb6.12e-05 Co0.144 Al0.00274 Ti0.0184,26.526613255959216,56.37543911437344,56.89629683284666,1799.3393937866706,8.450537496992574,4.0039631040928825,130.26724733261457,1.8493506657138898
Fe0.636C0.00881Mn0.000203Si0.00972Cr0.135Ni0.00892Mo0.0114V0.000109Nb0.0000600Co0.190Al0.000620,0.19,0.02,0.49,12.56,0.94,1.96,0.01,0.0,0.01,20.1,0.0,0.03,0.0,1328.3,1779.5,19.7,Fe0.636 C0.00881 Mn0.000203 Si0.00972 Cr0.135 Ni0.00892 Mo0.0114 V0.000109 Nb6e-05 Co0.19 Al0.00062,25.819861676468417,55.18283605204417,55.72258457215724,1880.2293323022018,8.028585930646397,3.983513881311936,131.2863708757226,1.8278221937128938
Fe0.644Mn0.000521Si0.00102Cr0.000110Ni0.177Mo0.0215V0.000112Nb0.0000617Co0.126Al0.00234Ti0.0269,0.0,0.05,0.05,0.01,18.1,3.6,0.01,0.0,0.01,13.0,0.0,0.11,2.25,2501.1,2570.0,3.7,Fe0.644 Mn0.000521 Si0.00102 Cr0.00011 Ni0.177 Mo0.0215 V0.000112 Nb6.17e-05 Co0.126 Al0.00234 Ti0.0269,26.673881840765283,56.07202205119889,57.29175984747661,1815.5256281059146,8.346108561056628,4.018209626650481,131.01535478393745,1.8491177509569916
Fe0.646C0.00479Mn0.00597Si0.00492Cr0.135Ni0.0000980Mo0.0534V0.000113N0.000821Nb0.0000619Co0.148Al0.000640,0.1,0.57,0.24,12.19,0.01,8.9,0.01,0.02,0.01,15.2,0.0,0.03,0.0,1228.9,1795.6,2.0,Fe0.646 C0.00479 Mn0.00597 Si0.00492 Cr0.135 Ni9.8e-05 Mo0.0534 V0.000113 N0.000821 Nb6.19e-05 Co0.148 Al0.00064,26.548558586752996,54.60031841925783,57.5221442057127,1917.7893734523998,7.8320770495389205,4.036686727399971,132.84863673129573,1.8350181468771343
Fe0.648C0.000453Mn0.0000991Si0.0386Cr0.183Ni0.0195Mo0.000113V0.000107Nb0.0000586Co0.109Al0.000605Ti0.000569,0.01,0.01,1.99,17.5,2.1,0.02,0.01,0.0,0.01,11.8,0.0,0.03,0.05,1088.6,1419.3,10.0,Fe0.648 C0.000453 Mn9.91e-05 Si0.0386 Cr0.183 Ni0.0195 Mo0.000113 V0.000107 Nb5.86e-05 Co0.109 Al0.000605 Ti0.000569,25.30193898698806,55.245508195291954,54.42567168275529,1868.0721220988162,8.016243399316092,3.960064781217407,131.65164737252007,1.8086069538519316
Fe0.648C0.00751Mn0.000103Si0.000201Cr0.158Ni0.0000961Mo0.0288V0.00531N0.00201Nb0.0000607Co0.149Al0.000836,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0.0,0.04,0.0,1502.0,2008.4,11.5,Fe0.648 C0.00751 Mn0.000103 Si0.000201 Cr0.158 Ni9.61e-05 Mo0.0288 V0.00531 N0.00201 Nb6.07e-05 Co0.149 Al0.000836,26.077205351431722,54.546119775967604,56.3857587049478,1906.982492338439,7.823880208031228,4.008784343013908,132.40244705912474,1.8266660929580045
