Passage,DOI,Material,Rc,Unit,log(Rc)
"Supercooling investigation and critical cooling rate for glass formation in Pd–Cu–Ni–P alloy. 1 When nucleating homogeneously, R c is evaluated to be 2.08×10^(-5) K/s under continuous cooling.",10.1016/S1359-6454(99)00030-0,Cu30Ni10P20Pd40,0.0000208,K/s,-4.681936665
"Prediction of the glass forming ability in Cu–Zr binary and Cu–Zr–Ti ternary alloys. In their study, the associated solution model was adopted for describing the effect of short range ordering in the undercooled liquid. Although the thermodynamic data at low temperature were properly taken into account, there is some discrepancy between the calculated and experimental results, e.g. the cooling rate of Cu–50at.%% Zr alloy is only 10^(-4) K/s, which is much slower critical cooling than the reported data.",10.1016/j.intermet.2007.07.008,Cu0.5Zr0.5,0.0001,K/s,-4
"First principles modeling of the structural, electronic, and vibrational properties of Ni40Pd40P20 bulk metallic glass. The study indicates that a value of T rg close to 2/3 was achieved in their experiments. In a later work, He et al. [14] produced Ni40Pd40P20 BMG using a critical cooling rate of 10^(-3) K/s.",10.1016/j.nocx.2018.100004,Ni40P20Pd40,0.001,K/s,-3
"Thermodynamics, kinetics, and crystallization of Pt57.3Cu14.6Ni5.3P22.8 bulk metallic glass. These alloys show an extraordinary ability to resist crystallization and may solidify as a glass when cooled at sufficient rates. One of the best metallic glass formers yet discovered is the Pd43Cu27Ni10P20 alloy, which under certain processing conditions has demonstrated a remarkably low critical cooling rate for glass formation of 0.005K/s [1], resulting in a critical casting thickness of >72mm [2].",10.1016/j.actamat.2006.09.024,Cu27Ni10P20Pd43,0.005,K/s,-2.301029996
"On the new criterion to assess the glass-forming ability of metallic alloys. As shown in Fig. 4(l) and Table 3, a rather high correlation coefficient (R ^(2) =0.922) indicates that Eq. (22) fits the experimental data points very well. For example, Eq. (22) predicts the critical cooling rate R c ω for Pd43.2Ni8.8Cu28P20 bulk metallic glass is 6.50×10^(-3) K/s, which is good agreement with the experimentally measured R c (i.e., 9×10^(-3) K/s for this alloy, see Table 2).",10.1016/j.msea.2009.01.063,Cu28Ni8.8P20Pd43.2,0.0065,K/s,-2.187086643
"On the new criterion to assess the glass-forming ability of metallic alloys. As shown in Fig. 4(l) and Table 3, a rather high correlation coefficient (R ^(2) =0.922) indicates that Eq. (22) fits the experimental data points very well. For example, Eq. (22) predicts the critical cooling rate R c ω for Pd43.2Ni8.8Cu28P20 bulk metallic glass is 6.50×10^(-3) K/s, which is good agreement with the experimentally measured R c (i.e., 9×10^(-3) K/s for this alloy, see Table 2).",10.1016/j.msea.2009.01.063,Cu28Ni8.8P20Pd43.2,0.009,K/s,-2.045757491
"Thermodynamics, enthalpy relaxation and fragility of the bulk metallic glass-forming liquid Pd43Ni10Cu27P20. These findings provide the possibility to experimentally measure the thermodynamic properties in bulk metallic glasses [2,12,13]. So far, the Pd43Ni10Cu27P20 alloy shows the best glass-forming ability with a critical cooling rate as low as 0.01 K/s [14].",10.1016/j.actamat.2003.10.003,Cu27Ni10P20Pd43,0.01,K/s,-2
"High temperature homogeneous plastic flow behavior of a Zr based bulk metallic glass matrix composite. So, the mechanism of the high temperature deformation of BMG composites needs to be further investigated. Among the multi-component BMGs, the Zr41.2Ti13.8Cu12.5Ni10Be22.5 alloy (Vitreloy 1) is a particularly good glass former with a critical cooling rate as low as approximately 1K/min [27].",10.1016/j.jallcom.2010.02.017,Be22.5Cu12.5Ni10Ti13.8Zr41.2,0.016666667,K/s,-1.77815125
"Air-oxidation of a Pd40Ni40P20 bulk glassy alloy at 250–420°C. In addition, this glassy alloy had a larger ΔT x value of ∼72°C, which offered a better welding ability and superplasticity (up to a 1260% deformation) [9]. Besides, it was reported that the quaternary version of this family, the Pd43Cu27Ni10P20 bulk-metallic glass (Pd4-BMG), could retain its amorphous structure in a relative lower critical cooling rate (∼4°C/min), as compared to that of the ternary alloy (∼60°C/min) [10].",10.1016/j.jallcom.2013.01.175,Cu27Ni10P20Pd43,0.066666667,K/s,-1.176091259
"Electronic structure of Pd42.5Ni7.5Cu30P20, an excellent bulk metallic glass former: Comparison to the Pd40Ni40P20 reference glass. Bulk metallic glasses of Pd–Ni–Cu–P alloys, discovered by Nishiyama and Inoue [1], have been intensively investigated due to their good glass-forming abilities (GFA). They have optimized the concentration dependence of the critical cooling rate and found that Pd42.5Ni7.5Cu30P20 has at present the slowest critical cooling rate – 0.067K/s – and can form a massive bulk glass with a diameter of >40mm by simple water-quenching [2].",10.1016/j.actamat.2007.01.041,Cu30Ni7.5P20Pd42.5,0.067,K/s,-1.173925197
