Composition,Conductivity (S/cm),Temperature (degC),PO2 (%),PH2O (%),Grainsize,Ref,Carrier Type
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.004140886,700.7166231,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.002762727,649.0222851,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.001842683,599.6017218,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.001082487,549.9904885,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000572005,501.097838,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000289439,449.5723706,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000137367,399.2313582,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,6.24287E-05,349.4346711,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.1(SrO)0.9(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,1.70892E-05,300.1660292,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.00658125,700.5943456,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.004677259,648.8976968,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.003253841,599.4812045,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.003168661,549.7880159,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.002201006,498.5765605,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.001212163,450.3691313,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000456328,399.9501187,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000130506,350.8484377,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.3(SrO)0.7(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,4.50239E-05,300.0774432,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.007626607,700.5554455,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.005420189,648.8628181,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.003393819,599.4722787,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.00195186,548.5792269,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.001122046,499.8351429,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000644334,449.4560679,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000305891,400.8726975,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,0.000122516,350.8552831,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(CeO2)0.5(ZrO2)0.35(Y2O3)0.05(Sm2O3)0.025,4.69679E-05,300.7058393,0,1.9,5.8,https://doi.org/10.1016/j.ijhydene.2016.02.073,H
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,26.84281353,300,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
